# wavelength table pulled from this website (Drew Chojnowski):
# http://astronomy.nmsu.edu/drewski/tableofemissionlines.html
# and converted to vacuum for >2000Å (Rebecca Larson)
name	wavelength
Ne VIII	770.409
Ne VIII	780.324
Lyε	937.814
Lyδ	949.742
C III	977.030
N III	989.790
N III	991.514
N III	991.579
Lyβ	1025.722
O VI	1031.912
O VI	1037.613
Ar I	1066.660
Lya	1215.670
N V	1238.821
N V	1242.804
Si II	1260.422
Si II	1264.730
O I	1302.168
C II	1334.532
C II	1335.708
Si IV	1393.755
O IV]	1397.232
O IV]	1401.160
Si IV	1402.770
N IV]	1486.496
C IV	1548.187
C IV	1550.772
He II	1640.420
O III]	1660.809
O III]	1666.150
N III]	1746.823
N III]	1748.656
Al III	1854.716
Al III	1862.790
Si III]	1892.030
C III]	1908.734
N II]	2143.380
[O III]	2321.600
C II]	2324.149
C II]	2325.340
[O II]	2471.027
[Fe XI]	2649.448
He II	2734.050
[Mg V]	2783.474
Mg II]	2796.306
Mg II]	2803.485
[Fe IV]	2830.147
[Fe IV]	2836.529
[Ar IV]	2854.464
[Ar IV]	2869.008
[Mg V]	2928.814
He I	2945.925
O III	3133.664
He I	3188.630
He II	3203.989
O III	3313.248
[Ne V]	3343.461
[Ne V]	3346.749
[Ne V]	3426.831
O III	3445.007
[N I]	3467.458
[N I]	3467.504
He I	3488.694
[Fe VII]	3587.313
[Fe VI]	3663.514
H19	3687.852
H18	3692.573
H17	3698.181
H16	3704.884
H15	3713.005
H14	3722.975
[O II]	3727.063
[O II]	3729.847
H13	3735.403
H12	3751.196
[Fe VII]	3759.960
H11	3771.681
H10	3798.955
H9	3836.452
[Fe V]	3840.332
[Ne III]	3869.830
He I	3889.723
H8	3890.140
[Fe V]	3892.357
[Fe V]	3912.412
Ca II	3934.748
[Ne III]	3968.567
HE	3971.177
He I	4027.303
[S II]	4069.725
[Fe V]	4072.366
[S II]	4077.476
Hδ	4102.876
He I	4120.810
He I	4144.906
Fe II	4180.017
[Fe V]	4181.755
Fe II	4234.342
[Fe V]	4228.358
[Fe II]	4288.578
Fe II	4304.365
O II	4318.332
Hγ	4341.670
[O III]	4364.415
He I	4387.930
[Ar XIV]	4413.519
O II	4416.118
Fe II	4418.050
[Fe II]	4453.327
He I	4472.714
Fe II	4490.422
Fe II	4492.645
N III	4512.155
Fe II	4523.883
Fe II	4557.151
Fe II	4584.100
Fe II	4585.102
Fe II	4630.617
N III	4635.419
N III	4641.921
N III	4643.131
C III	4648.703
C III	4651.533
C III	4652.754
[Fe III]	4659.335
He II	4687.003
[Ar IV]	4712.560
[Ar IV]	4741.428
Hβ	4862.674
[Fe VII]	4894.720
[Fe IV]	4904.422
HeI	4922.577
Fe II	4925.285
OIII	4933.963
[O III]	4960.278
[O III]	5008.224
He I	5015.680
Fe II	5019.824
[Fe III]	5086.172
[Fe VI]	5147.168
[Fe VII]	5160.312
Fe II	5170.458
[Fe VI]	5177.467
Fe II	5199.010
[N I]	5201.690
Fe II	5236.068
[Fe IV]	5237.503
[Fe III]	5271.852
Fe II	5277.456
[Fe VII]	5277.834
[Fe XIV]	5304.321
[Ca V]	5310.573
Fe II	5318.080
Fe II	5318.249
[Fe VI]	5336.650
[Fe VI]	5425.714
[Cl III]	5519.229
[Cl III]	5539.398
[Fe VI]	5639.152
[Fe VI]	5678.563
C III	5697.488
[Fe VII]	5722.275
[N II]	5756.174
C IV	5802.927
C IV	5813.580
He I	5877.241
O I	6048.104
[Fe VII]	6088.675
[O I]	6302.037
[S III]	6313.796
Si II	6348.846
[O I]	6365.526
Fe II	6371.214
[Fe X]	6376.263
Fe II	6517.873
[N II]	6549.851
Hα	6564.624
[N II]	6585.270
[S II]	6718.287
[S II]	6732.660
O I	7004.154
[Ar V]	7007.795
He I	7067.138
[Ar III]	7137.751
[Fe II]	7157.123
[Ar IV]	7172.590
[Fe II]	7173.971
C II	7238.408
[Ar IV]	7239.249
O I	7256.441
[Ar IV]	7264.755
He I	7283.350
[O II]	7322.001
[O II]	7332.744
[Ni II]	7379.857
[Ni II]	7413.196
[Fe II]	7454.585
N I	7470.362
[S XII]	7613.090
[Ar III]	7753.189
He I	7818.282
Ar I	7870.355
[Ni III]	7892.066
[Fe XI]	7893.967
He II	8239.051
Pa20	8394.700
Pa19	8415.627
Pa18	8440.272
O I	8448.677
Pa17	8469.578
Ca II	8500.352
Pa16	8504.816
Ca II	8544.434
Pa15	8547.728
[Cl II]	8581.054
Pa14	8600.752
[Fe II]	8619.315
Ca II	8664.517
Pa13	8667.397
N I	8682.664
N I	8705.635
N I	8714.093
Pa12	8752.873
Pa11	8865.214
[Fe II]	8894.350
Pa10	9017.382
[S III]	9071.088
Pa9	9231.546
[S III]	9533.714
Paε	9548.587
[C I]	9826.824
[C I]	9852.961
[S VIII]	9915.718
He I	10030.479
He I	10033.910
Paδ	10052.123
[S II]	10289.550
[S II]	10323.319
[S II]	10339.243
[Fe XIII]	10749.745
He I	10833.308
Paγ	10941.083
